article	token	tfidf
75458	nilotica	0.00268220
75458	tamarindu	0.00268220
75458	indica	0.00268220
67068	intéresser	0.00270353
67383	afin	0.00271575
67068	dire	0.00271968
67388	ce	0.00273797
67068	fin	0.00273983
67068	t	0.00274046
67068	falloir	0.00274433
67383	disposer	0.00274767
67068	peu	0.00276097
67071	non	0.00276316
67383	monde	0.00276331
67938	commencer	0.00278087
67068	fois	0.00278264
67383	différent	0.00278385
67068	domaine	0.00278677
67389	impliquer	0.00280345
67553	somme	0.00282504
70916	datant	0.00282849
67068	traval	0.00283318
67798	lâche	0.00283366
67385	dernier	0.00284542
67383	son	0.00284761
67387	connaître	0.00286804
67068	fameux	0.00287560
67383	voire	0.00288197
67068	trois	0.00290182
67383	mise	0.00290616
67388	contexte	0.00290889
67794	parce	0.00290977
67386	type	0.00291595
67383	or	0.00292159
67068	compte	0.00292202
67071	concevoir	0.00292357
67553	moins	0.00293428
67068	chercheur	0.00295745
67388	mois	0.00296224
67068	ailleurs	0.00297287
67385	avant	0.00297782
67388	différents	0.00297825
67068	passer	0.00298157
75458	ménager	0.00298486
67798	tard	0.00298914
67388	sou	0.00300036
67383	beaucoup	0.00300318
67068	observer	0.00300560
67937	heureux	0.00300578
67937	austère	0.00300578
67068	dès	0.00300732
67383	tel	0.00300852
67071	travail	0.00300988
67388	lancer	0.00301236
67937	stimulant	0.00302264
67068	travailler	0.00302961
67387	rendre	0.00303442
67555	après	0.00304217
67068	certain	0.00304419
70161	prestigieuse	0.00305744
70161	revisition	0.00305744
70161	reconfigurer	0.00305744
70161	revendiquer	0.00305744
70161	abstraite	0.00305744
70161	fondamentalement	0.00305744
70161	attaché	0.00305744
70161	perpétuer	0.00305744
70161	déshérence	0.00305744
70161	revisité	0.00305744
70161	recruton	0.00305744
70161	compton	0.00305744
70161	cdio	0.00305744
70161	lègu	0.00305744
70161	retentissant	0.00305744
70161	rassurant	0.00305744
70161	inquiéter	0.00305744
70161	fassion	0.00305744
67939	fréquemment	0.00305806
67383	évidemment	0.00306318
67553	quand	0.00306553
67385	ensuite	0.00306618
67386	sans	0.00308512
67389	conduire	0.00308669
67068	notre	0.00308831
67383	selon	0.00309324
67387	centre	0.00309353
67553	partie	0.00309375
67068	toujours	0.00310101
67071	déclarer	0.00310575
67068	celui	0.00310746
67794	durer	0.00311073
67939	équateur	0.00311568
69177	énormément	0.00311659
67389	parallèlement	0.00312040
67068	possible	0.00312149
68279	esquisse	0.00312439
67390	parfaitement	0.00312712
67383	ensemble	0.00312961
67385	résultat	0.00313344
73683	caresser	0.00314152
73683	foliot	0.00314152
73683	ccj	0.00314152
73683	amu	0.00314152
73683	germ	0.00314152
73683	nucléart	0.00314152
73683	gipc	0.00314152
73683	déclenchant	0.00314152
73683	rome	0.00314152
73683	alexandrin	0.00314152
73683	convoité	0.00314152
73683	barqu	0.00314152
73683	carrer	0.00314152
73683	mandataire	0.00314152
73683	borg	0.00314152
73683	charpentier	0.00314152
73683	arkaeos	0.00314152
73683	squelette	0.00314152
73683	préalable	0.00314152
73683	cheville	0.00314152
73683	archéologu	0.00314152
73683	serrage	0.00314152
73683	planche	0.00314152
73683	ployage	0.00314152
73683	vrillage	0.00314152
73683	commencion	0.00314152
73683	étuver	0.00314152
73683	flamme	0.00314152
73683	déduire	0.00314152
73683	carène	0.00314152
73683	virure	0.00314152
73683	formule	0.00314152
73683	naviguent	0.00314152
73683	talon	0.00314152
73683	achill	0.00314152
73683	trouvée	0.00314152
73683	rénovation	0.00314152
73683	muséographique	0.00314152
67388	estime	0.00314170
70162	42	0.00314865
67068	proposer	0.00315168
67068	nombre	0.00315586
67068	emblé	0.00315599
67388	rappelon	0.00315602
67068	progressivement	0.00315764
67068	industriel	0.00316798
67389	devenir	0.00317453
67068	humour	0.00317528
71835	ressemble	0.00317894
67385	bon	0.00318239
68881	plutôt	0.00319830
67071	enfin	0.00320339
67383	besoin	0.00320361
67068	développé	0.00320430
67068	autour	0.00321171
67383	savoir	0.00322459
67386	prendre	0.00322652
67383	extrêmement	0.00322906
67387	nombreux	0.00323467
67939	pousser	0.00324525
71359	motiver	0.00324764
67555	côté	0.00324865
67555	trop	0.00325454
67383	parmi	0.00326279
67794	décider	0.00326422
67071	france	0.00326458
67385	produire	0.00326790
67553	désormais	0.00328099
67794	certes	0.00328327
70916	récurrent	0.00328525
70916	inondation	0.00328525
70916	meurtrière	0.00328525
70916	vaison	0.00328525
70916	romaine	0.00328525
70916	vauclus	0.00328525
70916	gard	0.00328525
70916	recrudescence	0.00328525
70916	rivage	0.00328525
70916	touriste	0.00328525
70916	vivarai	0.00328525
70916	c0	0.00328525
70916	ligurie	0.00328525
70916	toscan	0.00328525
70916	lt	0.00328525
70916	catalogn	0.00328525
70916	ca	0.00328525
70916	baléare	0.00328525
70916	spécialemer	0.00328525
70916	drobinski	0.00328525
70916	simon	0.00328525
70916	laplac	0.00328525
70916	adriatique	0.00328525
70916	renfort	0.00328525
70916	tramontane	0.00328525
70916	insu	0.00328525
70916	sbr	0.00328525
70916	cariou	0.00328525
70916	marchand	0.00328525
70916	gliders	0.00328525
70916	cnrm	0.00328525
70916	game	0.00328525
70916	bouée	0.00328525
70916	flotteur	0.00328525
70916	dropsondes	0.00328525
70916	dérivant	0.00328525
70916	radiosondages	0.00328525
70916	précipitant	0.00328525
70916	falcon	0.00328525
70916	atr	0.00328525
70916	safir	0.00328525
70916	dornier	0.00328525
70916	karlsruher	0.00328525
70916	für	0.00328525
70916	kit	0.00328525
70916	lidar	0.00328525
70916	grêle	0.00328525
70916	neige	0.00328525
70916	glider	0.00328525
70916	biogéochimique	0.00328525
70916	pusceddu	0.00328525
70916	aladin	0.00328525
70916	horizon2015	0.00328525
70916	maill	0.00328525
67937	présidence	0.00328540
67553	niveau	0.00328673
67068	aboutir	0.00329118
73683	egypte	0.00329297
68881	scolaire	0.00329660
67068	luire	0.00330336
67068	scientifique	0.00330448
67387	leur	0.00330592
70916	collecte	0.00330656
67383	seul	0.00330844
67068	secteur	0.00331470
70161	confrontée	0.00332431
67937	souffler	0.00332730
69177	pire	0.00333054
67068	bien	0.00334258
71835	sébastien	0.00334927
71835	godefroy	0.00334927
67387	4	0.00335825
67386	prochain	0.00335965
67068	temps	0.00337255
67389	réussir	0.00337778
67068	particulièrement	0.00338032
67388	sembler	0.00338044
67937	baptiser	0.00338892
72932	congress	0.00339624
72932	mathematical	0.00339624
72932	physic	0.00339624
72932	icmp	0.00339624
72932	salem	0.00339624
72932	herbrand	0.00339624
72932	jersey	0.00339624
72932	einstein	0.00339624
72932	kurt	0.00339624
72932	gödel	0.00339624
72932	neumann	0.00339624
72932	oppenheimer	0.00339624
72932	résidence	0.00339624
72932	séjourner	0.00339624
72932	tranquille	0.00339624
72932	détacher	0.00339624
72932	abstrair	0.00339624
72932	bure	0.00339624
72932	sacrifier	0.00339624
72932	existera	0.00339624
72932	crayon	0.00339624
72932	curieux	0.00339624
72932	penseron	0.00339624
72932	néophyte	0.00339624
72932	écrivain	0.00339624
72932	souvenir	0.00339624
72932	ledrappier	0.00339624
72932	souffrance	0.00339624
72932	insomnie	0.00339624
72932	appétit	0.00339624
72932	peter	0.00339624
72932	sarnak	0.00339624
72932	motivante	0.00339624
72932	bourgain	0.00339624
72932	auditoire	0.00339624
72932	médaille	0.00339624
72932	bibliothèqu	0.00339624
72932	document	0.00339624
72932	confrère	0.00339624
72932	arranger	0.00339624
72932	décrir	0.00339624
72932	confiner	0.00339624
72932	interférence	0.00339624
72932	chaotique	0.00339624
72932	déplair	0.00339624
72932	maxim	0.00339624
72932	kontsevich	0.00339624
72932	modestie	0.00339624
72932	étoffe	0.00339624
72932	jalonnée	0.00339624
72932	phénoménal	0.00339624
72932	surhumain	0.00339624
72932	athlèt	0.00339624
67794	dégât	0.00339663
67553	récemment	0.00339683
67068	grâce	0.00340213
67553	généralement	0.00340315
67068	terrain	0.00340357
72932	éloigné	0.00341502
67554	pourtant	0.00341884
67939	conjointement	0.00341915
67937	abandonner	0.00342141
67939	revisiter	0.00342625
73684	cameroun	0.00342763
67387	difficile	0.00342828
67386	exister	0.00343047
67938	note	0.00343124
67937	coupée	0.00343136
67937	gentleman	0.00343336
67937	décernée	0.00343336
67937	figurent	0.00343336
67937	1954	0.00343336
67937	attribution	0.00343336
67937	keyo	0.00343336
67937	gairdner	0.00343336
67937	shaw	0.00343336
67937	joël	0.00343336
67937	bertrand	0.00343336
67937	injustifier	0.00343336
67937	perpétuel	0.00343336
67937	immunologist	0.00343336
67937	éléger	0.00343336
67937	élégance	0.00343336
67937	chaleureu	0.00343336
67937	convivial	0.00343336
67937	adolescent	0.00343336
67937	luxembourgeois	0.00343336
67937	répertorier	0.00343336
67937	combattre	0.00343336
67937	1978	0.00343336
67937	criquet	0.00343336
67937	infecter	0.00343336
67937	strasbourgeois	0.00343336
67937	lemaîtr	0.00343336
67937	reichhart	0.00343336
67937	dorso	0.00343336
67937	ventral	0.00343336
67937	agresseur	0.00343336
67937	cell	0.00343336
67937	suivaient	0.00343336
67937	lik	0.00343336
67937	receptors	0.00343336
67937	tlr	0.00343336
67937	déclench	0.00343336
67937	opposer	0.00343336
67937	rétrospectivement	0.00343336
67937	insecticide	0.00343336
67937	élection	0.00343470
67554	autrement	0.00344103
67937	arriver	0.00344120
67068	distinction	0.00344339
67071	mieux	0.00344534
67554	activement	0.00344556
72630	aléer	0.00344705
73684	délimité	0.00344749
73684	equatorial	0.00344749
73684	longé	0.00344749
73684	congo	0.00344749
73684	plateal	0.00344749
73684	regorge	0.00344749
73684	minerai	0.00344749
73684	manganèse	0.00344749
73684	uranium	0.00344749
73684	granitique	0.00344749
73684	ensoleillement	0.00344749
73684	éléphant	0.00344749
73684	hyène	0.00344749
73684	boa	0.00344749
73684	chenille	0.00344749
73684	scarabée	0.00344749
73684	scrupul	0.00344749
73684	germer	0.00344749
73684	propreté	0.00344749
73684	filial	0.00344749
73684	librevill	0.00344749
73684	vitivinicole	0.00344749
73684	convenir	0.00344749
73684	défunt	0.00344749
73684	natale	0.00344749
73684	hyper	0.00344749
73684	rustique	0.00344749
73684	cultivé	0.00344749
73684	adapte	0.00344749
73684	agrandir	0.00344749
73684	décès	0.00344749
73684	ali	0.00344749
73684	beaujolai	0.00344749
73684	épingl	0.00344749
73684	manquon	0.00344749
73684	sucré	0.00344749
73684	chablis	0.00344749
73684	titrer	0.00344749
73684	oser	0.00344749
73684	amender	0.00344749
73684	fertiliser	0.00344749
73684	assiami	0.00344749
73684	détracteur	0.00344749
73684	hiver	0.00344749
73684	raisonnement	0.00344749
73684	absurde	0.00344749
73684	voyon	0.00344749
67794	scène	0.00345256
67068	partir	0.00345265
67071	constituer	0.00345606
68885	allion	0.00346107
70916	colonne	0.00346144
67071	concerner	0.00346146
67071	puisqu	0.00346220
67071	1	0.00346459
67794	nourriture	0.00346578
67794	doute	0.00347323
67068	auxquels	0.00347624
67939	pluie	0.00347949
73185	choisie	0.00348003
73684	altérer	0.00349598
67555	distribuer	0.00349789
67068	souhaiter	0.00349818
67068	second	0.00350459
67068	impérativement	0.00350972
67553	commence	0.00351533
70161	recrutemer	0.00352296
70161	croyez	0.00352296
67068	voir	0.00352330
67068	trouver	0.00353929
68274	fouler	0.00353988
67555	totalement	0.00354034
67068	propice	0.00354278
67068	reste	0.00354529
71357	déduir	0.00354718
67068	conclure	0.00354822
67553	direction	0.00355018
71835	anecdote	0.00355143
71835	pareil	0.00355143
67388	spécifique	0.00355338
67068	publier	0.00355977
67390	petit	0.00356730
67938	disposon	0.00357476
72629	puission	0.00357725
67385	rester	0.00357828
67385	apparaître	0.00357980
67068	abord	0.00358040
67068	mur	0.00358178
67068	laboratoir	0.00359004
73183	marche	0.00359290
67383	démarch	0.00359582
68273	aussitôt	0.00359616
68882	notoriéter	0.00360129
67937	car	0.00360159
67383	lesquel	0.00360201
67383	problème	0.00360910
70161	traditionnellement	0.00361220
67386	capacité	0.00361310
67071	auquel	0.00361327
67555	comprendre	0.00361438
67391	responsable	0.00361488
67068	aventure	0.00361805
67068	papier	0.00362182
67795	installer	0.00362195
70916	cévenne	0.00362322
67939	pslv	0.00363182
67939	sriharikota	0.00363182
67939	865	0.00363182
67939	inclinaison	0.00363182
67939	intertropical	0.00363182
67939	nul	0.00363182
67939	ouf	0.00363182
67939	appréhension	0.00363182
67939	rebaptiser	0.00363182
67939	hindi	0.00363182
67939	contour	0.00363182
67939	incliné	0.00363182
67939	ausculter	0.00363182
67939	conique	0.00363182
67939	infra	0.00363182
67939	radiatif	0.00363182
67939	ro	0.00363182
67939	répartissent	0.00363182
67939	hydrométéorologie	0.00363182
67939	eumetsat	0.00363182
67939	cyclone	0.00363182
67939	cyclonique	0.00363182
67939	measuremer	0.00363182
67939	gpm	0.00363182
67939	jaxa	0.00363182
67071	national	0.00363234
74168	attaquer	0.00363920
67554	cinq	0.00364041
67068	plein	0.00364478
70745	globalement	0.00364875
67553	via	0.00364927
68279	exception	0.00365019
67794	co	0.00365134
67390	assurer	0.00365209
67939	véritablement	0.00365479
67071	nécessité	0.00365591
67385	utiliser	0.00365755
67795	année	0.00365998
67798	pleinement	0.00366062
67385	collaboration	0.00366245
71835	succéder	0.00366353
71835	nash	0.00366353
67555	longtemps	0.00366356
67389	davantage	0.00366422
67556	près	0.00366539
67389	confronté	0.00366550
67391	conséquent	0.00366726
67383	lors	0.00367082
67795	reconnaître	0.00367396
67388	spécialiste	0.00367497
71359	tic	0.00367656
70162	inconvénient	0.00368041
67555	ajouter	0.00368845
67387	2	0.00369238
67068	poursuivre	0.00369283
67068	personne	0.00369379
67385	partenaire	0.00369575
70420	ampleur	0.00369680
68383	relativement	0.00369822
67386	nécessiter	0.00369855
67388	garantie	0.00370345
67068	français	0.00370528
73684	vinification	0.00371191
73684	vendange	0.00371191
67068	j	0.00371220
70916	décliner	0.00371246
72113	émérite	0.00371704
68383	enthousiaste	0.00372225
67068	idée	0.00372319
70161	rude	0.00372431
67385	place	0.00372479
67795	démarrer	0.00373082
71359	croisé	0.00373162
74167	raisonnable	0.00373162
67071	seulement	0.00373251
70161	contenter	0.00373386
68279	esquisser	0.00373390
68882	reformuler	0.00373458
67071	général	0.00373667
67553	constater	0.00373736
67555	manqu	0.00373753
67553	conscience	0.00374069
70420	fonctionnent	0.00374378
67389	apprendre	0.00374422
68273	parfait	0.00374903
68638	banc	0.00374976
67939	bouleversement	0.00375033
67558	particulière	0.00375173
67068	façon	0.00375459
67794	compréhension	0.00375730
67071	créée	0.00375908
68273	naturellement	0.00376051
72630	tarder	0.00376131
70745	travaillon	0.00376208
67794	quinzaine	0.00376394
67795	p	0.00376534
67937	rappeler	0.00376741
68279	préside	0.00377068
67071	qualité	0.00377399
67794	répondre	0.00378152
67387	3	0.00378706
67387	appeler	0.00378986
67937	argent	0.00379053
67389	chaque	0.00379206
67068	origine	0.00379268
72932	possèdent	0.00379429
67388	propre	0.00379926
67554	adapter	0.00379981
67068	10	0.00380197
67068	produit	0.00380233
67383	projet	0.00380366
67385	sort	0.00380485
70161	redonner	0.00380503
67068	ici	0.00380686
67939	long	0.00380960
68383	xxième	0.00380967
67795	preuve	0.00381105
68885	réalisent	0.00381311
71359	aquimer	0.00381426
67555	identifié	0.00381542
72631	rongeur	0.00381673
67387	aide	0.00382331
67068	unique	0.00382691
67383	contraire	0.00382760
67937	souligner	0.00383264
67939	accepter	0.00383469
67068	croire	0.00383926
67389	fort	0.00384420
67383	dispose	0.00384735
67387	représenter	0.00385101
67555	essentiellement	0.00385141
68643	scientifiquemer	0.00385196
67553	jour	0.00385203
74449	brièvemer	0.00385219
73684	habitant	0.00385574
67555	durée	0.00385694
67794	investir	0.00386182
67385	présenter	0.00386286
67800	coup	0.00386434
67068	tant	0.00386736
67068	départ	0.00386792
67068	créer	0.00387112
67555	forcément	0.00387287
73684	planté	0.00387820
67555	occuper	0.00388194
67794	satisfaire	0.00388245
67387	manière	0.00388275
67938	hésiter	0.00388746
67068	delà	0.00388800
74167	risquer	0.00388905
67388	renfermer	0.00388945
67388	chacun	0.00388971
67937	souvient	0.00389062
72116	étonne	0.00389244
67937	succession	0.00390003
73182	déplore	0.00390234
67068	ajout	0.00390288
67553	intérêt	0.00390322
67068	qualifier	0.00390339
67554	empiler	0.00390602
67068	directeur	0.00390748
67068	vouloir	0.00391174
67554	assez	0.00391350
67068	institut	0.00391753
67068	je	0.00391778
67383	début	0.00391953
71835	illustre	0.00392862
67794	paysage	0.00392999
72113	philosophe	0.00393009
67794	habitude	0.00393114
67554	environ	0.00393256
67937	média	0.00393356
68276	tableau	0.00393393
67556	majeur	0.00393705
70916	multitude	0.00393709
67798	arrêter	0.00393786
67555	période	0.00393859
73432	savion	0.00394292
67555	essayant	0.00394386
67068	réputé	0.00394800
67794	constat	0.00394810
67068	coeur	0.00394973
67068	application	0.00395209
71359	cuisson	0.00395492
67383	émerger	0.00395800
67068	moment	0.00395922
74749	nullemer	0.00395959
68391	imaginer	0.00396162
67555	avis	0.00396819
67068	inverse	0.00397202
67071	matière	0.00397283
67386	point	0.00397948
71359	agrimip	0.00398291
71359	imaginove	0.00398291
71359	systeme	0.00398291
71359	soixant	0.00398291
71359	autocuiseur	0.00398291
71359	1953	0.00398291
71359	cuisinière	0.00398291
71359	cuisiner	0.00398291
71359	combinatoire	0.00398291
71359	électroménager	0.00398291
71359	hard	0.00398291
71359	soft	0.00398291
71359	intègrer	0.00398291
71359	tonalité	0.00398291
71359	englobe	0.00398291
71359	format	0.00398291
71359	mettron	0.00398291
71359	testeur	0.00398291
71359	cook	0.00398291
71359	appropriable	0.00398291
71359	selongey	0.00398291
71359	exploser	0.00398291
74168	éternelle	0.00398291
74168	quart	0.00398291
74168	extrapolation	0.00398291
74168	entame	0.00398291
74168	w	0.00398291
74168	astre	0.00398291
74168	règnent	0.00398291
74168	isotope	0.00398291
74168	soviétique	0.00398291
74168	toroïdal	0.00398291
74168	poloïdal	0.00398291
74168	stropper	0.00398291
74168	faisabilité	0.00398291
74168	bécoulet	0.00398291
74168	titan	0.00398291
74168	entreront	0.00398291
74168	récupère	0.00398291
74168	découvert	0.00398291
74168	poussière	0.00398291
74168	hydrogéner	0.00398291
74168	fonctionnera	0.00398291
74168	reconfiguration	0.00398291
74168	becoulet	0.00398291
74168	béryllium	0.00398291
74168	configurer	0.00398291
67939	recommander	0.00399254
68881	dira	0.00399360
67555	70	0.00399447
67071	véritable	0.00399732
67558	ajouté	0.00399760
67389	activité	0.00399909
67068	université	0.00399931
67383	parl	0.00399960
68643	quasiment	0.00400101
67391	fruit	0.00400386
67794	titre	0.00400513
67071	vers	0.00400555
67937	fierter	0.00400579
67558	raison	0.00400762
68886	finalement	0.00400834
67068	parvenir	0.00400936
67390	large	0.00401217
68279	démarrage	0.00401240
73182	apportant	0.00401293
70745	promesse	0.00401788
67068	genevièv	0.00401858
72630	inlassablement	0.00401951
67555	compétitivité	0.00402077
73683	cote	0.00402246
67391	augmenter	0.00402387
67554	bénéficier	0.00402648
67553	valorisant	0.00402715
67383	souvent	0.00402902
67937	hors	0.00402904
67389	pense	0.00404554
67795	effectif	0.00404601
67071	solution	0.00404818
70421	brûle	0.00405049
67794	profond	0.00405124
70916	john	0.00405229
68881	haleine	0.00405530
67385	puisque	0.00405794
67798	chemin	0.00405984
67389	permanence	0.00406093
67389	apporter	0.00406578
67389	question	0.00406973
67937	apercevoir	0.00407170
67555	réunion	0.00407192
70421	habitué	0.00407248
70161	revoir	0.00407289
68276	brillamment	0.00407305
67389	pourquoi	0.00407836
67554	développée	0.00408180
67937	jouer	0.00408405
68638	impatiemment	0.00408918
70162	systematic	0.00409040
67068	financer	0.00409182
67071	mondial	0.00409415
67554	possibilité	0.00409438
68273	inévitable	0.00409449
67939	troisième	0.00409653
69183	demander	0.00409711
67794	optimiste	0.00409757
76511	equilibre	0.00409987
76511	aviculture	0.00409987
76511	infatigable	0.00409987
76511	kentoh	0.00409987
76511	accuser	0.00409987
76511	1989	0.00409987
76511	obligé	0.00409987
76511	rétorqu	0.00409987
76511	apparier	0.00409987
76511	célibataire	0.00409987
76511	cédant	0.00409987
76511	provoqu	0.00409987
76511	heureusement	0.00409987
76511	accroissent	0.00409987
76511	rayonnement	0.00409987
76511	alcoolisme	0.00409987
76511	tabagisme	0.00409987
76511	rétinopathi	0.00409987
76511	boostant	0.00409987
76511	réséder	0.00409987
76511	bâtie	0.00409987
76511	découle	0.00409987
76511	biosynthèse	0.00409987
76511	oxyder	0.00409987
76511	préserv	0.00409987
76511	prion	0.00409987
76511	carlo	0.00409987
76511	corino	0.00409987
76511	milan	0.00409987
76511	engranger	0.00409987
76511	profilent	0.00409987
76511	écotoxicité	0.00409987
76511	astronaute	0.00409987
67068	original	0.00410257
67554	quel	0.00411912
69177	rid	0.00412003
69177	couronn	0.00412003
69177	acharné	0.00412003
69177	dessous	0.00412003
69177	elisa	0.00412003
69177	julien	0.00412003
69177	lecomte	0.00412003
69177	débris	0.00412003
69177	totalis	0.00412003
69177	46	0.00412003
69177	atv2	0.00412003
69177	vaisseau	0.00412003
69177	ravitaillemer	0.00412003
69177	accostage	0.00412003
69177	nanosatellite	0.00412003
69177	embarqu	0.00412003
69177	altika	0.00412003
69177	doris	0.00412003
69177	argos	0.00412003
69177	rover	0.00412003
69177	msl	0.00412003
69177	chemcam	0.00412003
69177	magnétomètre	0.00412003
69177	exomar	0.00412003
69177	metop	0.00412003
69177	ng	0.00412003
69177	reporter	0.00412003
69177	habituel	0.00412003
69177	atv	0.00412003
68881	technolgy	0.00412679
68881	very	0.00412679
68881	nanosystème	0.00412679
68881	pointue	0.00412679
68881	nanoélectronique	0.00412679
68881	californien	0.00412679
68881	pasadéner	0.00412679
68881	profitant	0.00412679
68881	bébé	0.00412679
68881	volumineux	0.00412679
68881	mechanical	0.00412679
68881	incluent	0.00412679
68881	poumon	0.00412679
68881	cher	0.00412679
68881	evoquer	0.00412679
68881	tousser	0.00412679
68881	tuyau	0.00412679
68881	bronchite	0.00412679
68881	fiction	0.00412679
68881	empresse	0.00412679
68881	prévisible	0.00412679
68881	feynman	0.00412679
68881	berceau	0.00412679
67795	pouvon	0.00412800
67068	unité	0.00413281
71836	horaire	0.00413456
71359	demi	0.00413674
67388	affiner	0.00413710
67937	part	0.00413743
67795	aucun	0.00413754
67553	intégrer	0.00413768
68274	vendre	0.00413798
68279	intrant	0.00413856
68279	parcell	0.00413856
67553	quant	0.00414048
67386	dizaine	0.00414078
67794	projeter	0.00414118
68383	contribuent	0.00414635
67391	région	0.00414829
67555	néanmoins	0.00414952
67383	participer	0.00415531
67553	confronter	0.00415541
70162	universel	0.00415817
67555	6	0.00415992
67071	regrouper	0.00416523
67071	2010	0.00416548
67071	face	0.00416722
67068	obtenir	0.00416722
67383	etat	0.00416867
67068	jamais	0.00417110
73877	content	0.00417333
73877	subtilement	0.00417333
67939	élévation	0.00417888
67068	dassault	0.00417923
68643	systématique	0.00417940
69812	poch	0.00418196
72115	poigner	0.00418236
67553	prétendre	0.00418392
72630	napoléon	0.00418689
67943	situer	0.00418976
67389	effectuer	0.00419334
68882	instabilité	0.00419337
70421	paroi	0.00419433
67388	technologique	0.00419585
68638	observable	0.00419621
73684	acidité	0.00420028
67383	vivre	0.00420204
73683	ph	0.00420330
67937	facile	0.00421166
67554	un	0.00421556
67794	envie	0.00421626
70421	ambiant	0.00421681
70421	diasi	0.00421681
70421	reproduire	0.00421681
70421	fontenay	0.00421681
70421	accidenter	0.00421681
70421	lueur	0.00421681
70421	perturbe	0.00421681
70421	eh	0.00421681
70421	observateur	0.00421681
70421	ressent	0.00421681
70421	vibreur	0.00421681
70421	avertissement	0.00421681
70421	notoire	0.00421681
70421	recréer	0.00421681
70421	tailleur	0.00421681
70916	pont	0.00421834
71835	crois	0.00422093
68279	figurer	0.00422107
68881	regard	0.00422229
67068	bel	0.00422318
67388	consister	0.00422448
68279	fourniture	0.00422453
67388	destinée	0.00422497
68383	oseo	0.00422567
68273	organoleptique	0.00422616
67068	vie	0.00422919
67554	élémentaire	0.00422973
67071	plan	0.00423475
68643	récolte	0.00423495
67068	occasion	0.00423650
68387	envisageon	0.00423658
67939	nuageux	0.00423824
67945	dirige	0.00424268
68643	importer	0.00424707
68279	périphérie	0.00424722
67387	importance	0.00424812
68274	négocier	0.00424815
70421	obstacle	0.00424865
74450	envisage	0.00424882
67068	adjoint	0.00424905
68387	encourageant	0.00425005
68274	vingtaine	0.00425077
70161	menon	0.00425093
67071	nécessairement	0.00425145
67068	technologie	0.00425185
72392	dangereu	0.00425278
72935	préventif	0.00425356
68883	sentir	0.00425653
68279	émerge	0.00425686
67068	carrière	0.00425823
67388	labellisé	0.00425832
67939	genr	0.00426179
73183	récolt	0.00426193
73183	descendre	0.00426193
67385	condition	0.00426198
67390	intéressant	0.00426406
67794	poser	0.00426993
70914	multimedia	0.00427089
67388	parfois	0.00427171
67071	décennie	0.00427333
75792	irréprochable	0.00427335
67383	évoqu	0.00427445
